rank,distance_m,elapsed_time_s,moving_time_s,start_elevation_m,end_elevation_m,net_dz_m,ascent_crossed_m,descent_m,mean_speed_km_h,max_speed_km_h,max_free_speed_km_h,min_speed_before_stop_km_h,braking_constrained,braking_energy_j,braking_distance_m,active_constraints,braking_substeps,restart_count,distance_to_5kmh_m,distance_to_1kmh_m,distance_to_030ms_m,surface_mix,surface_assumed_share,termination,stop_reason,start_lat,start_lon,end_lat,end_lon,start_offset_m,roads,edges_used,osm_way_ids,start_osm_url,edge_ids,scenario
5,6141.2,676.9,676.9,2043.3,1600.0,-443.3,5.7,449.0,32.66,68.29,68.49,9.3,True,94575.6,505.0,31,1293,0,,,,asphalt_degraded=34%;asphalt_good=66%,0.339,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,59,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;1054770668;1054770664;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-264100596-1-forward;osm-1054770668-0-forward;osm-1054770664-0-forward;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
6,6096.0,643.0,643.0,2043.3,1600.0,-443.3,6.1,449.4,34.13,68.29,68.49,8.62,True,93149.8,522.5,33,1346,0,,,,asphalt_degraded=35%;asphalt_good=65%,0.354,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Avenue de Brandes > tertiary > Chemin de la Chapelle ...,61,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;93964270;105506488;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
7,6058.4,617.3,617.3,2043.3,1600.0,-443.3,1.4,444.7,35.33,56.88,56.88,6.91,True,80823.8,440.0,29,1174,0,,,,asphalt_degraded=33%;asphalt_good=67%,0.326,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Avenue de Brandes > tertiary > Chemin de la Chapelle ...,57,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
8,5979.5,618.6,618.6,2043.3,1600.0,-443.3,4.3,447.6,34.8,68.29,68.49,12.81,True,94932.9,577.3,38,1513,0,,,,asphalt_degraded=35%;asphalt_good=65%,0.354,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Avenue de Brandes > tertiary > Chemin de la Chapelle ...,60,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;105500336;105506488;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105506488-0-forward;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
9,5964.0,615.2,615.2,2043.3,1600.0,-443.3,4.3,447.6,34.9,68.29,68.49,12.81,True,95053.8,568.6,37,1468,0,,,,asphalt_degraded=35%;asphalt_good=65%,0.352,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Avenue de Brandes > tertiary > Chemin de la Chapelle ...,59,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;105500336;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105500336-2-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
10,5946.1,609.2,609.2,2043.3,1600.0,-443.3,4.3,447.6,35.14,68.29,68.49,12.81,True,93870.3,514.0,32,1302,0,,,,asphalt_degraded=35%;asphalt_good=65%,0.351,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Avenue de Brandes > tertiary > Chemin de la Chapelle ...,59,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;1054770668;1054770664;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229843-5-reverse;osm-91229843-4-reverse;osm-91229843-3-reverse;osm-91229843-2-reverse;osm-91229843-1-reverse;osm-91229843-0-reverse;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-264100596-1-forward;osm-1054770668-0-forward;osm-1054770664-0-forward;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
11,5162.4,612.9,612.9,2043.3,1730.2,-313.1,27.9,341.0,30.32,68.29,68.49,0.04,True,67339.4,424.2,26,1034,0,5158.5,5162.2,5162.2,asphalt_degraded=40%;asphalt_good=60%,0.4,definitive_stop,definitive_stop,45.107316,6.081466,45.091835,6.057384,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,54,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;93964270;105506488;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-4-reverse,reference_vtc
12,5149.6,591.7,591.7,2043.3,1720.4,-322.9,16.5,339.4,31.33,54.89,54.89,0.13,True,58091.4,358.4,24,929,0,5148.6,5149.6,5149.6,asphalt_degraded=36%;asphalt_good=64%,0.36,definitive_stop,definitive_stop,45.107316,6.081466,45.090161,6.060924,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,50,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;724634109;105500342,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-105500342-0-forward,reference_vtc
13,5045.8,588.5,588.5,2043.3,1730.2,-313.1,26.1,339.2,30.87,68.29,68.49,0.04,True,69122.4,478.9,31,1201,0,5041.9,5045.7,5045.7,asphalt_degraded=40%;asphalt_good=60%,0.401,definitive_stop,definitive_stop,45.107316,6.081466,45.091835,6.057384,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,53,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;105500336;105506488;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105506488-0-forward;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-4-reverse,reference_vtc
14,5030.4,585.2,585.2,2043.3,1730.2,-313.1,26.1,339.2,30.95,68.29,68.49,0.04,True,69285.7,470.3,31,1159,0,5026.5,5030.2,5030.2,asphalt_degraded=40%;asphalt_good=60%,0.4,definitive_stop,definitive_stop,45.107316,6.081466,45.091835,6.057384,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,52,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;105500336;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105500336-2-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-4-reverse,reference_vtc
15,5024.1,587.4,587.4,2043.3,1597.4,-445.9,23.9,469.9,30.79,54.89,54.89,0.39,True,40176.6,281.9,20,745,0,5023.8,5024.1,5024.1,asphalt_degraded=28%;asphalt_good=72%,0.282,definitive_stop,definitive_stop,45.107316,6.081466,45.086623,6.058746,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Rue du Maquis de l'Oisans > D 211F ...,47,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;91229844;91229842;28452050;264100534;264100587;119307789;264100531;28417066;264100600;724628368;49793787;28452293;1016849386;1016849384;1016849383;122019442;28452292;1267647424;264100557,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229844-0-forward;osm-91229842-0-reverse;osm-28452050-2-forward;osm-28452050-3-forward;osm-264100534-0-forward;osm-264100587-0-forward;osm-119307789-0-forward;osm-264100531-0-forward;osm-28417066-0-forward;osm-264100600-0-forward;osm-724628368-0-forward;osm-49793787-0-forward;osm-28452293-1-reverse;osm-1016849386-1-reverse;osm-1016849384-0-reverse;osm-1016849383-0-reverse;osm-122019442-0-reverse;osm-28452292-4-reverse;osm-28452292-3-reverse;osm-28452292-2-reverse;osm-28452292-1-reverse;osm-28452292-0-reverse;osm-1267647424-0-forward;osm-264100557-0-forward,reference_vtc
16,5012.4,579.1,579.1,2043.3,1730.2,-313.1,26.1,339.2,31.16,68.29,68.49,0.04,True,68059.9,415.7,25,990,0,5008.5,5012.2,5012.2,asphalt_degraded=40%;asphalt_good=60%,0.397,definitive_stop,definitive_stop,45.107316,6.081466,45.091835,6.057384,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,52,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;1054770668;1054770664;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-264100596-1-forward;osm-1054770668-0-forward;osm-1054770664-0-forward;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-4-reverse,reference_vtc
